id,x,y,reference_value
Point_01,30.5234,37.8765,1
Point_02,30.5456,37.8901,2
Point_03,30.5678,37.9023,1
Point_04,30.5890,37.9145,3
Point_05,30.6012,37.9267,2
Point_06,30.6234,37.9389,4
Point_07,30.6456,37.9511,3
Point_08,30.6678,37.9633,5
Point_09,30.6890,37.9755,4
Point_10,30.7012,37.9877,5
Point_11,30.5300,37.8800,1
Point_12,30.5500,37.8950,2
Point_13,30.5700,37.9100,2
Point_14,30.5900,37.9200,3
Point_15,30.6100,37.9300,3
Point_16,30.6300,37.9400,4
Point_17,30.6500,37.9500,4
Point_18,30.6700,37.9600,5
Point_19,30.6900,37.9700,5
Point_20,30.7100,37.9800,1
